89384 4
957747794 714636916 681692778
649760493 719885387 424238336
25202363 189641422 596516650
102520060 783368691 350490028
365180541 967513927 44897764
303455737 304089173 540383427
294702568 521595369 35005212
861021531 336465783 726956430
145174068 233665124 278722863
801979803 101513930 468703136
369133070 635723059 315634023
89018457 59961394 125898168
131176230 656478043 628175012
914544920 859484422 653377374
734575199 756898538 608413785
38664371 149798316 973594325
412776092 184803527 129566414
749241874 911759957 424268981
982906997 42999171 137806863
84420926 511702306 135497282
572660337 827336328 937477085
632621730 805750847 159126506
141616125 433925858 100661314
1100546 939819583 84353896
610515435 548233368 998898815
760313751 374344044 585990365
945117277 356426809 477171088
709393585 780695789 889947179
752392755 918502652 491705404
264095061 53999933 474612400
943947740 843993369 411549677
749698587 855636227 984210013
36140796 956297540 469348095
975960379 40651435 463480571
376710098 892066602 317097468
603570493 330573318 927612903
959997302 660260757 687926653
593209442 402724287 485560281
364228445 894429690 194953866
270744730 221558441 947346620
114738098 633108118 63958032
822890676 469834482 7905772
631704568 791698928 610120710
524872354 255179498 498777857
269455307 572276966 327254587
600028625 352406220 703964684
112805733 40332872 160051529
515530020 378409504 120048830
409959709 573363369 713258271
631518150 373226341 77486716
117142619 289700724 200747797
439493452 150122847 168002246
231192380 760243556 990892922
338888229 111537765 622597489
911165194 438792351 147469842
116087765 142757035 269441501
8936988 155324915 869470125
387346492 275373744 982275857
960709860 841148366 350322228
186452552 771151433 760281937
476153276 971899229 244316438
626276122 139901475 213975408
239036030 130794396 653468859
350573794 605908236 884661238
789366144 605894429 76065819
784639530 875335929 987231012
939964444 597322405 103318777
67854539 432114614 112255764
909002905 782436841 352118607
532670689 395235129 165344819
504569918 492067918 351797370
496987744 706043325 680466997
480298491 359512184 159259471
86206726 96689773 398295500
544617506 172755591 601385645
272469787 12502955 243268140
722308543 968338083 27907670
6939508 933110198 820388465
789376349 285228805 740759356
37127829 450573623 502278612
529195747 654887344 34949300
87755423 335354341 392035569
447267606 494613811 889023312
396473731 745425662 369321802
569229321 346811306 308044879
434248627 590079445 705178737
402586709 470503466 977648523
188213259 143408283 552473417
473442063 884167638 559412925
776532037 238962601 201305625
431419380 273911900 238433453
619290072 665947469 620145551
113903882 407487132 707900974
711845895 776808934 7684931
58657200 937370164 404158661
501252997 642548900 973387982
824272814 472713774 260152960
967681096 25187191 662739669
704365085 437116467 850952927
943327685 638422091 176911341
69755937 876855543 953443377
588219757 349517446 237379108
995706888 57418419 856669180
625032173 65103349 823089413
562402337 469262010 387451660
57467588 295166343 298625211
382697714 555319302 799878207
260401256 70575322 476667373
697517722 774044600 296864820
335939812 950955940 1229905
65311706 756915668 797073941
414829151 846811128 719346229
324763921 555996659 307565985
389867270 231602423 155789225
711645631 619054082 780821397
6811973 917679293 195740085
414647626 570073851 253207673
337739300 46741223 635905386
111783899 343606043 896306641
915256191 197352299 446340714
524688210 846942591 782280525
371499337 566288820 700108582
927495995 726371156 114937733
11614770 882160380 292218005
630668851 662981777 682085274
548348143 858721861 246247256
118421994 964445885 105575580
17679568 452867622 520223206
213801962 201690614 857962505
411154260 648031327 822262755
110613203 282828203 737518945
676902022 982936785 114723507
255789529 950390869 486222843
137949909 242608873 266235190
653448037 777210499 277849959
364686249 23457754 908518809
329132134 129033334 309383304
781999755 501772891 280321649
983690369 212251747 150517568
484238047 34514501 364319530
767066250 624549798 775473789
750003034 739273304 886086991
552910254 78012498 415505364
795519126 344247687 671294893
425245976 474613997 661761153
448703730 235649158 315209189
430253415 545032461 679895437
932026305 677870461 861543922
144278051 828388028 496060029
31308903 192707557 332266749
655858700 820697698 816504795
395132003 559301040 583571044
473144501 974806404 186090429
669908539 498617648 739000682
144522536 12895152 387036160
380171693 328104340 812282135
777720505 860516128 113502216
455590965 722060050 543755630
136495344 70636430 328298286
329202901 402903178 472576336
2416950 219407972 503885239
561717989 655495368 12260290
389040744 841585796 407392293
887658391 433102830 733053145
900553542 672655341 402961683
81174233 337453827 400000570
941690361 450956043 780172262
516266762 847228024 410409118
586903191 175526310 866000082
989806368 500618997 2495426
61730691 4504235 184214678
717226058 16764525 186631627
411328206 276673169 748349615
696947387 9726313 137390359
369602727 265204347 877565101
707056553 665204917 630634995
10528947 297893530 564325579
857756971 708302648 358532291
885799632 426819081 874799052
386418628 281830858 314218594
243439215 318561887 156541313
112720091 505193513 70788356
241909611 106059480 788014413
104152275 95966190 51858970
369356621 826047642 748806356
887077889 309198988 970925434
37487771 873524567 530498339
745790418 232056857 541027285
25125850 959372261 251300607
159473060 126107206 137100238
478034946 282648519 376035218
983228459 353436874 471990784
941804290 993967638 584710874
37770479 45826608 826620484
716334472 647149315 930772758
25533460 470591101 152645730
899058026 1089439 39723619
983631234 394633075 77211389
943003494 645933682 675518158
69110700 635550271 553160359
204275570 864101840 712633418
410228795 336092623 190668364
404196432 773319848 26413174
302539391 452456683 968217463
802205058 235745792 858504293
272796158 388391522 427355116
126401948 280631492 452888575
521035022 210359232 204462952
19485055 738393741 40610538
655035326 291554099 983614031
371653517 4187517 905241082
707746140 47372232 962033003
333582339 73785405 372261797
786039022 894519219 628974581
21784813 605539863 931513971
262692686 32894978 586235380
543324177 338299905 859031537
606199760 395279208 985433484
344593500 435889745 358984858
488663951 272020128 378469912
345367819 29777561 33505237
392740050 991810564 257675106
319041806 216588712 965421245
66077376 845563292 151519935
524133590 629593615 937558956
409544919 215828994 959343769
747844823 927376883 74552806
143124031 765326718 617876983
431530127 124311575 76593094
703550254 502781487 421186594
733327815 388803075 909850544
725138378 646478180 107734714
941727089 464415776 500474763
639806733 615935711 672032920
269400347 406011018 738110295
337745692 217871138 114760236
265122574 292423944 524305154
30449292 910300926 124666329
7277218 986894019 120306711
362575056 260596964 551836837
751378131 22963859 255387091
250372662 130698572 988714905
567304790 483689686 566369634
35756852 155722605 360613074
441767869 746349251 419806
659639007 861109486 122336504
952062950 385414640 460082196
714880227 510080968 577721121
554290597 630387678 460686764
814887561 34740866 467963982
690367771 290127956 830539037
821066343 131359212 434433519
157272380 550245197 537322533
312994985 910858271 104627322
59344235 763794428 140384173
772970073 738647284 582152041
10901064 51245831 94307399
520982031 628966951 46370348
3886060 89653715 761250574
38626925 410134048 168057523
181271233 93189436 982945083
312630444 527622955 525829205
862875641 64945487 199411899
626250263 22089160 356684279
242561042 14989684 669679263
981208325 597141724 581539849
32454155 691449123 207026273
513937458 590335822 217927336
603591172 204102748 738909366
13725219 372160270 595311777
106914654 207621704 633938702
487053960 733450908 815209934
404515798 932862807 980356729
279121309 289547085 695748721
294110992 811742699 174515335
891252716 245798899 417076377
435218190 452825172 250801053
25554011 670752507 135771560
82173110 262178225 649709017
454333379 857490001 105816540
661955082 343945054 972058110
395405990 11671339 931489115
180785148 992028068 271059427
470332232 687776788 675575224
134591282 862292123 954696533
380390180 131884851 101323876
833215351 235202255 992576591
503967858 370973814 280311132
766146082 873199182 158381495
476152434 979015721 240554604
820097488 803590182 694887983
831768826 735079297 209359416
823796893 6138723 604765405
364090033 534230298 785550552
78898507 341443182 108399135
63299709 442767058 242990416
298501963 287860000 623380596
669475777 420687484 309112298
395191310 579068978 813080155
226723383 672139933 431742588
30313564 219544267 907895022
617909212 428903683 580508861
476564286 33669087 412277686
10794584 671735991 88590931
204754117 632651477 305197315
500037526 875641893 384095821
787897526 351538840 447395529
61101361 660651137 745897491
640170338 326247644 267889619
164826622 610506583 663080929
384370889 370917956 889804311
813274571 951426816 772634226
699460009 216220854 390543438
223712351 304811784 867107723
856363828 610009098 730418658
584522072 846621270 787689127
936060911 146533150 287726652
449228399 892430640 928140529
627992394 12836611 989241889
238498977 528433891 481928578
609416932 270754553 646755200
413360100 43388778 31126088
629580953 286448567 844400658
934392736 6072642 396377018
396918185 736491299 620089369
96055806 376696777 476453196
242588955 664423429 60975267
135019594 445080309 849552529
372556 434322198 151297279
528806446 916250775 779289673
799560998 415522326 870305001
695466128 446648413 332238284
981914694 143565422 745598383
987987335 539942440 375179335
576994986 12548160 162088422
953691762 489001355 411522958
470631542 402492973 507578763
915711851 104561853 750167717
202550400 108375483 737703663
118801174 887665155 738076218
386839852 610486507 119399016
833488264 942724791 771476365
829570038 688323173 466942492
222028829 916018860 301373538
234576988 78107281 289360872
723578342 342146591 866355857
978587666 849725353 672563971
83149518 599893070 143195512
44041352 190113084 58907362
931706507 928189301 113974113
394709365 900104668 85291639
337434155 671581033 472131490
878273680 991039876 158136105
794292539 292413413 987706142
724916171 434290637 209734970
67062761 153162845 444311957
769304466 825726815 20406650
221713887 968922327 998994315
411826970 880346040 934660184
192532622 994320153 978701536
92637290 79611791 762924394
616734674 404259632 10150110
607774549 562395736 347584265
752704314 550101878 78374296
186994950 612353199 872666834
340157794 56665156 450099356
18400961 929588157 369678469
987323287 781098824 138982934
720185678 568275359 213213172
567022182 399493246 625040141
499150324 14933991 817572762
903409955 25084101 910210051
318322043 372668365 379461076
868423920 451042660 987235625
333293470 176225845 592456290
242474977 478841552 779451239
172063134 848520020 972125384
953161957 840019305 990526344
373953667 53232476 830365982
773446913 530788968 403068012
788380903 348361730 970090193
813465003 111088132 321756869
38649719 490549208 77683175
489692378 330301184 396005217
518434574 922757473 116945488
997276126 554725063 450238958
698312497 379366798 692713934
390848154 369893142 717293419
296596981 52775475 522971727
827385949 455843486 896925394
28264030 278450031 670372306
139352161 600206899 311269560
482417720 530406425 124734563
812718903 926411642 163384281
587992727 895873481 505593011
995234141 198628790 24027584
374600939 891342724 21303709
597010432 461152494 572132558
649785906 984124221 962980711
105629392 881049614 259577691
384079422 403938271 86963639
836802672 715207830 115227668
367209096 692458744 107096181
146137089 855843025 589513900
42010570 213952387 254749155
93155711 237979970 695258233
984498434 111800031 690492374
298167280 683932588 917609664
282291500 499429650 514620095
15857465 759007340 16922352
272312087 698487331 122551743
987519916 666231350 359147516
532495012 625843882 195950187
240854388 67874134 415675635
454806774 322623288 561812723
692786743 17881520 456339644
657103125 560890245 549495355
193552064 331016260 386510140
692981713 845636354 684677419
304505405 862558706 819485270
2992735 837626800 835342734
521740436 196774316 107654820
100670 245240854 947691088
67974803 660916488 332702451
390598090 75245563 573556838
260995961 531585206 28363611
674402558 933596912 573666705
5418817 172623404 230769830
703571523 857300822 424321893
418646580 529302444 117303606
256273379 217161529 274325362
305564046 177332701 129834448
550804900 125023788 651574883
211721387 310242590 651675552
286966949 883799427 719650354
671068507 912163037 962764795
604665418 338346093 76277108
777288821 569115922 750679665
487105995 845954167 756098481
16408438 815774124 312186355
86086318 90099485 730832934
263419018 219933932 987106313
240959157 724025166 145186710
551201746 228217070 695991609
435001172 947867423 907712996
199680560 763148570 47196296
538026653 839425677 718264802
959658926 590105341 175446572
805613092 198720173 805251744
473903567 510906528 144874090
564003051 94255813 13798879
636453334 81362125 99885197
360478500 79065187 363304214
588695569 775056795 604263371
389079343 535286142 155465116
4744264 582482438 442982640
844169940 153263591 642663199
286791632 181226514 33206203
485511805 986478258 992865129
848934684 131352347 650994572
943190496 145151226 124898139
877068973 245036422 541417541
956134159 608340635 30387227
731190953 65120357 390865726
118993447 220585473 832077646
701475884 663568112 73673340
707255826 158747662 78417604
888482340 44470217 922587543
874960597 37335345 209379175
858829295 540846268 547407331
3980520 518260758 396342014
101533293 912194651 192048861
562390280 942581877 69117833
627510636 185963954 25251991
848096108 18041599 608959296
364180571 91714938 727952742
375444585 170132541 281944977
419914801 92720084 989200802
309766497 154615610 730199493
850612764 702022940 457676441
221389874 950881305 316505736
133584524 142930165 173002607
928682752 64564350 127052252
114646705 89816340 689442531
132688303 551291987 316953166
76919592 131761080 17565626
99568485 266222408 234262548
44804920 107939562 609707132
199420529 838139054 29621932
753959820 295815495 339388428
704841124 464837582 42517544
700287640 637840188 116423769
764851989 764892439 102524644
707184681 306851321 31207395
110993019 623804487 145854099
242754099 493886464 131058753
508976506 728149011 60494696
616916067 337856143 160063180
307571473 219994426 204868099
603386967 559382854 256804979
68224548 454416749 10764798
558581087 570840517 568122273
175989878 673365160 268409913
482841198 704572554 33261901
959162036 702943004 592962933
453048499 686518108 703955952
33713862 599529155 946710050
371570004 759592335 308202907
591564429 816976785 777635326
3463634 73781764 85206798
457880382 84546561 541110116
28720898 505185186 461851015
554602409 773595098 20432101
111691314 659373350 48938330
814634317 104852635 384295880
353668776 808808586 343457915
953197931 608034987 649022766
565306617 916237893 682736627
234799753 546389570 54306630
308581516 631596367 498387410
245644429 25222834 354367396
750829614 487073848 812247777
376941063 360022301 693485027
888830764 408960630 100603787
993683398 793256509 212295101
802491983 989230776 26929417
263043321 638253541 233114545
31797566 173506519 38828827
578187135 80329500 456651795
62299854 578716909 691451547
87522687 933084304 33063
574596535 597848433 98193843
934618835 143849811 701539808
196095816 244453597 78480870
989352325 456748697 819827985
831099452 336194466 813511383
321869344 421825362 468519717
495375862 460654188 731563038
575705361 917305982 763360603
6938621 461273880 194064089
940022925 313823294 256363942
390387709 412017136 343886629
386753871 113556943 918483163
631207467 44554164 853101997
940472516 716898501 49197812
129183333 382926235 891066488
551008694 851445951 574682291
11662881 435525340 896551634
781485214 51402294 391927495
95275445 245466383 967632855
409098739 501830324 974571476
821115874 845716952 767110752
787189169 616716466 10014812
684259684 322334814 396768682
253674536 224048978 880492500
636600770 115115465 820965015
340563073 542314108 950148347
776088412 438865741 353673392
680007058 683309588 217852624
925473440 503458794 999337837
279820115 330546621 94613282
978053419 97657372 356228372
594769884 960188535 29860597
917104698 209473568 817049765
141153675 89966068 353825801
108785491 763447434 607500336
503615950 566112133 96617458
942481691 919785524 437180530
478307630 137638148 65785293
981766423 989492336 745792350
312313044 936621969 523782141
262486767 292850340 803602256
75191654 322710937 634172026
284665221 992277053 81458261
374631288 198619205 998562958
138078722 806119541 992232984
556707206 902736998 953534827
476492729 192433879 309667128
466647228 258219171 104665170
456139564 4011521 582972799
245277884 527793661 564739222
538128224 183912268 729568617
713355512 818084293 992055383
705632564 899542554 67247036
904251769 750621863 204428609
562887661 595371199 579059896
318141010 401422377 569654969
510574888 711089504 126362174
768794058 815754674 455371255
625321930 251243824 922018482
5631943 815983045 230674397
189544210 398068013 475952281
860144855 242639748 866596856
612203760 162403135 579952367
215341974 366831743 138101282
810713172 945891639 894869402
64651900 368062959 310273414
628257756 346941485 628414423
296528781 654829091 991505662
547772604 429363924 612816072
216272001 660038321 238138001
614340013 988506953 243769943
856979760 855103808 285830505
19382895 287572526 145975359
386214637 278190159 758179118
184622627 173059561 973521091
405201938 483332974 636750615
752143422 964263749 553918866
259488864 955769410 182176621
688852787 421101833 478705401
201407459 659239834 26478005
189914411 755526128 95266357
897534570 41356632 709606369
37623447 39848342 566586129
315813606 798027459 438485375
488873166 624064902 824700011
824722491 113331868 861838990
788986239 667250733 267040927
597272001 701943706 871700700
18373833 33165458 131189563
530130018 59643462 820042349
138172498 7426170 21449808
179529129 717032539 63880570
219377471 136135019 961415140
869921281 574620393 999038586
346502534 251836755 167368543
459834401 113675744 656241708
979601486 233233022 333480551
681545191 104933721 122466789
714710648 88639635 572255141
626870462 908681984 443145326
634296631 782648143 825791695
203845521 699045064 963964192
339980539 512976555 143493321
914600931 364531493 215387143
166437686 531900035 85308423
132629781 40658095 284327309
365862803 374138645 744161709
470796523 349121785 576279546
559436158 921376926 110341088
320634493 217038603 825051736
955798987 42830297 304438549
654844050 859310841 791251531
20336957 855320513 995097052
384868449 70707655 335077590
916768483 8532429 102194873
957426577 145376089 268632558
331565221 889537798 401262338
680687006 318333695 767125140
454580283 428674783 90438015
524135237 106242870 502390524
419481885 410681418 823025016
278792725 54449300 631340354
134113237 49546351 138700755
57337243 237140293 159037711
918386024 339335165 543906159
63762112 607967722 460674642
805816261 861746411 270617570
124149956 481387903 602182791
405341090 571825917 135386148
511583959 74216440 442482782
922265376 749757807 966618018
976714675 233614512 386099902
878777378 372315266 517408979
115917670 531352977 504038567
455252834 75259135 413892162
915736907 388450128 184794537
777483317 659067698 101073000
111387571 113766840 906889261
683213487 249152987 883555568
609946278 691635768 141413009
212220436 510770137 652996967
445834947 896870038 427778694
818150213 266795368 257009720
202019541 770833935 135787097
277278675 184726096 104221118
665728803 369520632 559473951
177312852 470593631 327727209
291079691 229999243 105210526
540232677 966071162 69114448
84384796 107484170 752327935
595154932 760481136 214790564
344541321 40776181 279527352
611336689 297785901 725362298
234686975 433572997 396028862
419413070 537794115 598048402
641450053 949784417 727843429
112043683 277511626 246088583
194559278 235238503 423401434
13146791 304352950 714481124
120630961 909197236 107230152
733628448 123987800 191614947
774404629 256031503 639286230
72190529 981393800 983827550
358279877 229939014 447680590
896073991 680503767 682367564
698374760 408347195 954296985
975886385 654435777 595747037
63641239 77837210 560307072
220510540 644834685 607382701
129707776 752064836 620529491
106211927 943679782 741160451
362243429 435482363 327305251
196153580 271826265 101709879
278608945 719506854 26416759
959112712 254390770 384696635
219976258 61204106 133286978
874412035 656951143 831661737
804765596 69774566 660064473
302116633 677157266 723705711
54181468 150203108 944216250
850377602 891363559 926440377
285859964 71185161 32652303
557686228 172895039 247412083
129709434 199311797 296082015
236616555 584008431 574690959
297820660 717295408 533803670
954771802 401473496 753779928
877062719 61537968 480708314
406736336 637760030 137990261
556939444 434492632 440106893
300819354 360933008 346804713
372004514 246101663 197182314
544899552 346030097 335558629
